Num,Date,Artist,Single
Reached number one,Artist(s),Single,Record label
320,"March 23, 1974",Cher,"""Dark Lady"""
321,"March 30, 1974",John Denver,"""Sunshine on My Shoulders"""
322,"April 6, 1974",Blue Swede,"""Hooked on a Feeling"""
323,"April 13, 1974",Elton John,"""Bennie and the Jets"""
324,"April 20, 1974",MFSBandThe Three Degrees,"""TSOP"""
325,"May 4, 1974",Grand Funk,"""The Loco-Motion"""
326,"May 18, 1974",Ray Stevens,"""The Streak"""
327,"June 8, 1974",Paul McCartney and Wings,"""Band on the Run"""
328,"June 15, 1974",Bo Donaldson and The Heywoods,"""Billy, Don't Be a Hero"""
329,"June 29, 1974",Gordon Lightfoot,"""Sundown"""
330,"July 6, 1974",The Hues Corporation,"""Rock the Boat"""
331,"July 13, 1974",George McCrae,"""Rock Your Baby"""
332,"July 27, 1974",John Denver,"""Annie's Song"""
333,"August 10, 1974",Roberta Flack,"""Feel Like Makin' Love"""
334,"August 17, 1974",Paper Lace,"""The Night Chicago Died"""
335,"August 24, 1974",Paul AnkaandOdia Coates,"""(You're) Having My Baby"""
336,"September 14, 1974",Eric Clapton,"""I Shot the Sheriff"""
337,"September 21, 1974",Barry White,"""Can't Get Enough of Your Love, Babe"""
338,"September 28, 1974",Andy Kim,"""Rock Me Gently"""
339,"October 5, 1974",Olivia Newton-John,"""I Honestly Love You"""
340,"October 19, 1974",Billy Preston,"""Nothing from Nothing"""
341,"October 26, 1974",Dionne WarwickandThe Spinners,"""Then Came You"""
342,"November 2, 1974",Stevie Wonder,"""You Haven't Done Nothin'"""
343,"November 9, 1974",Bachman-Turner Overdrive,"""You Ain't Seen Nothing Yet"""
344,"November 16, 1974",John Lennon,"""Whatever Gets You Thru the Night"""
345,"November 23, 1974",Billy Swan,"""I Can Help"""
346,"December 7, 1974",Carl Douglas,"""Kung Fu Fighting"""
347,"December 21, 1974",Harry Chapin,"""Cat's in the Cradle"""
348,"December 28, 1974",Helen Reddy,"""Angie Baby"""
349,"January 4, 1975",Elton John,"""Lucy in the Sky with Diamonds"""
350,"January 18, 1975",Barry Manilow,"""Mandy"""
351,"January 25, 1975",The Carpenters,"""Please Mr. Postman"""
352,"February 1, 1975",Neil Sedaka,"""Laughter in the Rain"""
353,"February 8, 1975",Ohio Players,"""Fire"""
354,"February 15, 1975",Linda Ronstadt,"""You're No Good"""
355,"February 22, 1975",Average White Band,"""Pick Up the Pieces"""
356,"March 1, 1975",Eagles,"""Best of My Love"""
357,"March 8, 1975",Olivia Newton-John,"""Have You Never Been Mellow"""
358,"March 15, 1975",The Doobie Brothers,"""Black Water"""
359,"March 22, 1975",Frankie Valli,"""My Eyes Adored You"""
360,"March 29, 1975",LaBelle,"""Lady Marmalade"""
361,"April 5, 1975",Minnie Riperton,"""Lovin' You"""
362,"April 12, 1975",Elton John,"""Philadelphia Freedom"""
363,"April 26, 1975",B. J. Thomas,"""(Hey Won't You Play) Another Somebody Done Somebody Wrong Song"""
364,"May 3, 1975",Tony Orlando and Dawn,"""He Don't Love You (Like I Love You)"""
365,"May 24, 1975","Earth, Wind & Fire","""Shining Star"""
366,"May 31, 1975",Freddy Fender,"""Before the Next Teardrop Falls"""
367,"June 7, 1975",John Denver,"""Thank God I'm a Country Boy"""
368,"June 14, 1975",America,"""Sister Golden Hair"""
369,"June 21, 1975",Captain & Tennille,"""Love Will Keep Us Together""♪(1975)"
370,"July 19, 1975",Paul McCartney and Wings,"""Listen to What the Man Said"""
371,"July 26, 1975",Van McCoy and the Soul City Symphony,"""The Hustle"""
372,"August 2, 1975",Eagles,"""One of These Nights"""
373,"August 9, 1975",Bee Gees,"""Jive Talkin'"""
374,"August 23, 1975","Hamilton, Joe Frank & Reynolds","""Fallin' in Love"""
375,"August 30, 1975",KC and the Sunshine Band,"""Get Down Tonight"""
376,"September 6, 1975",Glen Campbell,"""Rhinestone Cowboy"""
377,"September 20, 1975",David Bowie,"""Fame"""
378,"September 27, 1975",John Denver,"""I'm Sorry"""
379,"October 11, 1975",Neil Sedaka,"""Bad Blood"""
380,"November 1, 1975",Elton John,"""Island Girl"""
381,"November 22, 1975",KC and the Sunshine Band,"""That's the Way (I Like It)"""
382,"November 29, 1975",Silver Convention,"""Fly, Robin, Fly"""
383,"December 27, 1975",The Staple Singers,"""Let's Do It Again"""
384,"January 3, 1976",Bay City Rollers,"""Saturday Night"""
385,"January 10, 1976",C. W. McCall,"""Convoy"""
386,"January 17, 1976",Barry Manilow,"""I Write the Songs"""
387,"January 24, 1976",Diana Ross,"""Theme fromMahogany(Do You Know Where You're Going To)"""
388,"January 31, 1976",Ohio Players,"""Love Rollercoaster"""
389,"February 7, 1976",Paul Simon,"""50 Ways to Leave Your Lover"""
390,"February 28, 1976",Rhythm Heritage,"""Theme FromS.W.A.T."""
391,"March 6, 1976",The Miracles,"""Love Machine"""
392,"March 13, 1976",The Four Seasons,"""December 1963 (Oh, What a Night)"""
393,"April 3, 1976",Johnnie Taylor,"""Disco Lady"""
394,"May 1, 1976",The Bellamy Brothers,"""Let Your Love Flow"""
395,"May 8, 1976",John Sebastian,"""Welcome Back"""
396,"May 15, 1976",The Sylvers,"""Boogie Fever"""
397,"May 22, 1976",Wings,"""Silly Love Songs""♪(1976)"
398,"May 29, 1976",Diana Ross,"""Love Hangover"""
399,"July 10, 1976",Starland Vocal Band,"""Afternoon Delight"""
400,"July 24, 1976",The Manhattans,"""Kiss and Say Goodbye"""
401,"August 7, 1976",Elton John andKiki Dee,"""Don't Go Breaking My Heart"""
402,"September 4, 1976",Bee Gees,"""You Should Be Dancing"""
403,"September 11, 1976",KC and the Sunshine Band,"""(Shake, Shake, Shake) Shake Your Booty"""
404,"September 18, 1976",Wild Cherry,"""Play That Funky Music"""
405,"October 9, 1976",Walter Murphy and the Big Apple Band,"""A Fifth of Beethoven"""
406,"October 16, 1976",Rick Dees and His Cast of Idiots,"""Disco Duck"""
407,"October 23, 1976",Chicago,"""If You Leave Me Now"""
408,"November 6, 1976",Steve Miller Band,"""Rock'n Me"""
409,"November 13, 1976",Rod Stewart,"""Tonight's the Night (Gonna Be Alright)""♪(1977)"
410,"January 8, 1977","Marilyn McCooandBilly Davis, Jr.","""You Don't Have to Be a Star (To Be in My Show)"""
411,"January 15, 1977",Leo Sayer,"""You Make Me Feel Like Dancing"""
412,"January 22, 1977",Stevie Wonder,"""I Wish"""
413,"January 29, 1977",Rose Royce,"""Car Wash"""
414,"February 5, 1977",Mary MacGregor,"""Torn Between Two Lovers"""
415,"February 19, 1977",Manfred Mann's Earth Band,"""Blinded by the Light"""
416,"February 26, 1977",Eagles,"""New Kid in Town"""
417,"March 5, 1977",Barbra Streisand,"""Love Theme FromA Star Is Born(Evergreen)"""
418,"March 26, 1977",Daryl Hall and John Oates,"""Rich Girl"""
419,"April 9, 1977",ABBA,"""Dancing Queen"""
420,"April 16, 1977",David Soul,"""Don't Give Up on Us"""
421,"April 23, 1977",Thelma Houston,"""Don't Leave Me This Way"""
422,"April 30, 1977",Glen Campbell,"""Southern Nights"""
423,"May 7, 1977",Eagles,"""Hotel California"""
424,"May 14, 1977",Leo Sayer,"""When I Need You"""
425,"May 21, 1977",Stevie Wonder,"""Sir Duke"""
426,"June 11, 1977",KC and the Sunshine Band,"""I'm Your Boogie Man"""
427,"June 18, 1977",Fleetwood Mac,"""Dreams"""
428,"June 25, 1977",Marvin Gaye,"""Got to Give It Up (Part 1)"""
429,"July 2, 1977",Bill Conti,"""Gonna Fly Now (Theme FromRocky)"""
430,"July 9, 1977",Alan O'Day,"""Undercover Angel"""
431,"July 16, 1977",Shaun Cassidy,"""Da Doo Ron Ron"""
432,"July 23, 1977",Barry Manilow,"""Looks Like We Made It"""
433,"July 30, 1977",Andy Gibb,"""I Just Want to Be Your Everything"""
434,"August 20, 1977",The Emotions,"""Best of My Love"""
435,"October 1, 1977",Meco,"""Star Wars Theme/Cantina Band"""
436,"October 15, 1977",Debby Boone,"""You Light Up My Life"""
437,"December 24, 1977",Bee Gees,"""How Deep Is Your Love"""
438,"January 14, 1978",Player,"""Baby Come Back"""
439,"February 4, 1978",Bee Gees,"""Stayin' Alive"""
440,"March 4, 1978",Andy Gibb,"""(Love Is) Thicker Than Water"""
441,"March 18, 1978",Bee Gees,"""Night Fever"""
442,"May 13, 1978",Yvonne Elliman,"""If I Can't Have You"""
443,"May 20, 1978",Wings,"""With a Little Luck"""
444,"June 3, 1978",Johnny MathisandDeniece Williams,"""Too Much, Too Little, Too Late"""
445,"June 10, 1978",John Travoltaand Olivia Newton-John,"""You're the One That I Want"""
446,"June 17, 1978",Andy Gibb,"""Shadow Dancing""♪(1978)"
447,"August 5, 1978",The Rolling Stones,"""Miss You"""
448,"August 12, 1978",Commodores,"""Three Times a Lady"""
449,"August 26, 1978",Frankie Valli,"""Grease"""
450,"September 9, 1978",A Taste of Honey,"""Boogie Oogie Oogie"""
451,"September 30, 1978",Exile,"""Kiss You All Over"""
452,"October 28, 1978",Nick Gilder,"""Hot Child in the City"""
453,"November 4, 1978",Anne Murray,"""You Needed Me"""
454,"November 11, 1978",Donna Summer,"""MacArthur Park"""
455,"December 2, 1978",Barbra Streisand and Neil Diamond,"""You Don't Bring Me Flowers"""
456,"December 9, 1978",Chic,"""Le Freak"""
457,"January 6, 1979",Bee Gees,"""Too Much Heaven"""
458,"February 10, 1979",Rod Stewart,"""Da Ya Think I'm Sexy?"""
459,"March 10, 1979",Gloria Gaynor,"""I Will Survive"""
460,"March 24, 1979",Bee Gees,"""Tragedy"""
461,"April 14, 1979",The Doobie Brothers,"""What a Fool Believes"""
462,"April 21, 1979",Amii Stewart,"""Knock on Wood"""
463,"April 28, 1979",Blondie,"""Heart of Glass"""
464,"May 5, 1979",Peaches & Herb,"""Reunited"""
465,"June 2, 1979",Donna Summer,"""Hot Stuff"""
466,"June 9, 1979",Bee Gees,"""Love You Inside Out"""
467,"June 30, 1979",Anita Ward,"""Ring My Bell"""
468,"July 14, 1979",Donna Summer,"""Bad Girls"""
469,"August 18, 1979",Chic,"""Good Times"""
470,"August 25, 1979",The Knack,"""My Sharona""♪(1979)"
471,"October 6, 1979",Robert John,"""Sad Eyes"""
472,"October 13, 1979",Michael Jackson,"""Don't Stop 'til You Get Enough"""
473,"October 20, 1979",Herb Alpert,"""Rise"""
474,"November 3, 1979","""Pop Muzik""",Sire
475,"November 10, 1979",Eagles,"""Heartache Tonight"""
476,"November 17, 1979",Commodores,"""Still"""
477,"November 24, 1979",Barbra Streisand and Donna Summer,"""No More Tears (Enough Is Enough)"""
478,"December 8, 1979",Styx,"""Babe"""
479,"December 22, 1979",Rupert Holmes,"""Escape (The Piña Colada Song)"""
